startupName,startupActivitySector,startupCreatedAt,startupLogo,startupWebsite,startupLabelDate,startupDescription,startupFounders,startupEmail,startupPhone
Historio,Ad Tech and Creative Tech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/historio.png,http://www.historioo.com,09/2019,HISTORIO is working on the enhancement of heritage throught technology and gaming. We make history accessible and fun using gaming and augmented reality.,"Youssef Boufaied, Mustapha Gharbi, Marwen Sami, Skander Amor",n.a.,n.a.
Keto Life Style,Consumer products and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Keto-life-style.png,null,05/2021,Keto Life Style offers a healthy lifestyle plan that allows users to determine their diet with a weekly follow-up and a sports coach for a complete weight loss program.,"Yesmine Ben Ameur, Mohamed Ali Rekik",n.a.,n.a.
Technologia Academy,EdTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/technologia_academy.png,null,10/2019,"Technologia Academy gives its users the opportunity to learn programming, management and marketing online through filmed courses, written materials and video tutorials as well as self-correcting exercises.",Mohamed Amine Hlali,n.a.,n.a.
PROTABAR,FoodTech & New Food,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/16-PROTABAR-COM.png,https://protabar.com,11/2021,"A healthy bar with no gluten, no added sugar, no preservatives, no additives and a 9-month shelf life.",Walid Trabelsi,n.a.,n.a.
Go Staff,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/GoStaff.io.png,http://www.gostaff.io,02/2021,Go Staff is a mobile application for medical tele-expertise between doctors and health professionals. It allows a digital exchange of best practices around patients' clinical records and facilitates the automated diagnosis of diseases via artificial intelligence.,"Mohamed Haroun Ouanes, Wassim Khalifa",n.a.,n.a.
Cognira Tunisia,Business Software and services,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Cognira-Tunisia.png,http://www.cognira.com,02/2021,"Cognira specializes in consulting and development of data analysis solutions for retail professionals, based on AI and ML",Hatem Sellami,n.a.,n.a.
byessa.com,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/4-Byessa.com.png,https://www.byessa.com,11/2021,Byessa is an online platform that connects car wreck owners and people looking for second-hand spare parts.,"Mohamed Slim Mansouri, Asma Saidi",n.a.,n.a.
KAPTY,Mobility,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/kapty.png,https://www.kapty.net/,09/2019,"KAPTY offers a solution that connects cab drivers with their customers, allowing them to optimize their time and budget.","Amine Allah Manai, Khaled Dridi",n.a.,n.a.
Liberrex,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Liberrex-Tunisia.png,https://www.liberrex.com,12/2020,"Liberrex offers a virtual customer flow management solution to all types of service providers (Hospital, Municipality, private doctor, beauty salon, etc.) to solve the problem of long waiting times and eliminate physical queues, thus increasing customer satisfaction.",Achraf Ammar,n.a.,n.a.
Above Creation,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Above creation.png,https://www.abovecreation.tn/,02/2022,"Above Creation, uses augmented reality technology to create platforms that help brands sell more and reduce their return products.",Ahmad Melki,n.a.,n.a.
medtrip,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/medtrip.png,http://www.medtrip.tn,05/2021,Medtrip is a medical tourism facilitation platform dedicated to patients from all over the African continent wishing to receive medical care in Tunisia.,"Achraf Msakni, Sabra Gargouri",n.a.,n.a.
Tunisia Baits,Agritech,2019,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.tunisiabaits.com/,03/2023,"Tunisia Baits is a biotech Startup, we are the first sustainable marine farm in Tunisia, Africa and in the Mediteranean coutry producing marine worms used for:
-baits for fisherman
-sustainable feed for aquaculture farm
-natural depolluters of marine sediments contaminated with heavy metals","Ahmed Malek, Marwen Mokdad",mokdadmarwen@gmail.com,24371780
IJA SOLUTION,Ad Tech and Creative Tech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ijaSolutions.png,http://www.ijasolution.com,07/2020,"ija is a mobile reservation and ticketing application for event organizers, food & beverage professionals and individuals.",Hatem Drira,n.a.,n.a.
Chosa,Business Software and services,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www2.chosa.net/,12/2021,CHOSA est une plateforme qui permet au parent de suivre la journée de leur enfant et de réagir à temps et en outre aux parents de communiquer plus aisément avec les animatrices ou directeurs grâce au réseau social dédié.,Walid Mansia,n.a.,n.a.
NEPTUNE MOSAIC,Ad Tech and Creative Tech,2014,https://admin.startup.gov.tn/storage/application_sessions/images/logos/neptunemosaic.png,http://www.neptunemosaic.com,11/2019,NEPTUNE MOSAIC specializes in the production of mosaic toy boxes from natural stones,Zied Abbes,n.a.,n.a.
NetConf,Business Software and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,09/2023,BeSynchro is a company specialized in the development of solutions for the automation of network management and monitoring (xDSL & FTTx).,Houssem Jarraya,contact@besynchro.net,n.a.
MineClap,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/MineClap.png,http://www.mineclap.com,02/2021,MineClap is a social network and a professional marketplace for the entertainment industry.,"Hamed Khalil Maaref, Taha Yassine Chahed, Slim Maaref",n.a.,n.a.
TransFacile,Mobility,2019,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,01/2020,TransFacile is a mobile application for intercity bus users.,"Oussema Marai, Ghada Chelly",n.a.,n.a.
MAZED,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/MAZED.png,http://auctionit4her.com/,05/2020,"MAZED is an online sales platform based on auction techniques, specializing in unique and authentic handicrafts.","Bilel Methnani, Mohamed Aymen Jomaa, Yassine Zrigue",n.a.,n.a.
kiddo,EdTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/kiddo.png,null,02/2022,"Kiddo is a communication platform that facilitates communication between parents, childcare teachers and the kindergarten management team.","Ahmed Jemaa, Ines Rahrah",n.a.,n.a.
Smart Mobility,Business Software and services,2014,https://admin.startup.gov.tn/storage/application_sessions/images/logos/SmartMobility.png,https://www.smartmobility-solutions.com/,05/2019,We develop solutions to meet the needs of companies in managing the mobility of their staff.,Mokhles Masmoudi,n.a.,n.a.
Coursesgolf,Commerce and shopping,2020,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,http://www.coursesgolf.net,05/2020,Coursesgolf is a platform designed for all golf enthusiasts to book their courses anywhere in the world.,Assil Talmoudi,n.a.,n.a.
Caprigène Impact Investing,Agritech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/CaprigeneImpactInvesting.png,null,11/2020,"Produce and disseminate genetic material in the form of animals, male and female, genetically improved and by means of biotechnology, artificial insemination.",Mongi Kaddoussi,n.a.,n.a.
Evolutik,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Evolutik.png,https://www.evolutik.com ,12/2020,"Evolutik develops an e-Ticketing solution EazyTick and an AI module. Evolutik wants to provide scalable and adapted solutions for the digitalization of culture, sports and events.","Maya Mathari, Mourad Mathari",n.a.,n.a.
EZZAYRA SOLUTIONS,Agritech,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ezzayra.png,http://www.ezzayra.com/,04/2019,"Development and integration of technological products for agriculture. Software, Hardware and Robotics.",Yasser Bououd,n.a.,n.a.
BSmart SARL,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/BSmart.png,http://www.bsmartdoc.com/,03/2020,Bsmart SARL: Automation of business processes around the digitization of documents and accounting records such as invoices and orders,"Walid Ammar, Ahmed Fessi",n.a.,n.a.
Tunrooms/SV Tech SARL,TravelTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Tunooms.png,https://www.tunrooms.com/,05/2019,"Tunrooms is a platform for renting furnished accommodation for short or long term, adapted to all types of stays and with online payment.","Mohamed Ali Lafif, Chokri Oueslati",n.a.,n.a.
WARM,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/warm.png,http://WARM.TN,03/2021,WARM.tn is a marketplace of second hand and vintage furniture and decorative objects.,Marwa Ben Aissa,n.a.,n.a.
eDream Commerce,Commerce and shopping,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/dream-ecommerce.png,http://www.edream.tn,09/2019,Edream is an e-commerce platform that allows you to sell our products to your network and earn commissions on each online sale.,"Kacem Ghozzi, Nebyl Ben Attia, Anes Sammari, Mehdi El Ayadi",n.a.,n.a.
KHEER,Agritech,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/APTYX.png,http://www.aptyx.io,01/2020,APTYX is a startup specialized in the manufacturing of assembled electronic boards.                              It offers IOT solutions for precision agriculture using artificial intelligence.,"Chaker LAFI, Haythem KHALIFA, Salem KHALIFA, Béchir YAHIA",n.a.,n.a.
DATAERA,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Dataera.png,https://www.data-era.co,06/2019,"Support companies in the control, analysis and visualization of their data. Helping them to enhance their information capital to increase their revenues and overall performance using new Big Data and Data Analytics technologies.","Hedi Zouari, Maher HENI",n.a.,n.a.
TIRA ROBOTS,Advanced Manufacturing & Robotics,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/tira-robots.png,http://www.tirarobots.com,11/2019,"TIRA ROBOTS designs and manufactures robots with 4, 5 and 6 axes for purely industrial use","Wassim ben Hmida, Azza Attia",n.a.,n.a.
wammya,Mobility,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Wammya.png,http://www.wammya.com,10/2020,"Wammya is an integrated solution for networking and digitalization for the transport sector. Business management tools are made available to service providers while integrating AI, IOT and blockchain into the solution.","Faycel Aouina, Iteb Masmoudi, Ahmed Lachheb Lahlaoui, Walid Negra",n.a.,n.a.
HyO-Tec,Environment,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.hyo-tec.com,07/2022,"HyO-tec Fundamental goals is the generation, conversion and storage of renewable energies, by manufacturing a scalable energy storage systems, and its parts, based on production and storage of green hydrogen","Bilel GASSARA, Kais Jamoussi, Nabil KECHAOU, Mounir TRABELSI, Fatma MELLOULI",bilel.gassara@hyo-tec.com,+216 21273360
Shipzzer,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Shipzzer.png,https://shipzzer.com/,03/2021,Shipzzer develops a Terminal Operating System (TOS) dedicated to intermodal transport.,"Alexandre Cour, Sami Landoulsi",n.a.,n.a.
Autorent,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Autorent-Software.png,https://autorent.tn/,03/2021,Autorent is a car rental agency management solution and a marketplace for booking and comparing prices rental cars,Moslem Ben Dhaou,n.a.,n.a.
Toumi Electronics,Advanced Manufacturing & Robotics,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/ToumiElectronics.png,https://www.toumi-electronics.com,11/2020,"TOUMI Electronics offers engineering solutions for the electronic, electromechanical, consumer, automotive and defense industries.",Ali Toumi,n.a.,n.a.
Makerfy,Business Software and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/9-Makerfy.png,https://www.makerfy.tn,11/2021,"Makerfy is a SaaS platform for small businesses, allowing to create an e-commerce/service in 30 minutes.","Hani Hamrouni, david di majo",n.a.,n.a.
Sala7li,EdTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/sala7li.png,http://sala7li.tn,11/2019,Sala7li is a platform for correcting scientific exercises and literary essays for students,"Mohamed Aymen Ben Hadj Mabrouk, Ines Dhaouadi",n.a.,n.a.
Go To Match,Ad Tech and Creative Tech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/5-GO-TO-MATCH.png,https://gotomatch.tn,07/2021,"GOTOMATCH is a platform specialized in electronic sports, it offers physical and online tournaments of video games.","Youssef Boumahdef, Wissem Ata, Khaled Hamila",n.a.,n.a.
Avidea,Business Software and services,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/digiconstat.png,http://www.avidea.tn,04/2020,We help insurance companies to  cut the cost of car claims by providing them a software platform de digitize car claims and automate fraud control.,"Jaafar Nasri, Anis Nasraoui",n.a.,n.a.
DABCHY,Commerce and shopping,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/dabchy.png,https://www.dabchy.com/,04/2019,Dabchy.com is a fashion marketplace that allows women to renew their wardrobes online and in complete security.,"Ghazi Ketata, Ameni Mansouri, Oussama Mahjoub",n.a.,n.a.
HSWARE,Advanced Manufacturing & Robotics,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.coadis.com,08/2023,"Development of intelligent agents that are able to: 
- Run scheduled tasks 
- Collect and send real-time data from sensors 
- Take corrective actions 
- Generate alerts and notifications 
The agent consists of two parts: 
- Hardware part (electronic card) 
- Software part (control software and artificial intelligence algorithm)","Chaker Trabelsi, Imen Jridi",contact.coadis@gmail.com,(+216)97447772
Pure Beauty Labs,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/10-Pure-Beauty-Labs.png,http://www.purebeauty.tn/,11/2021,Pure Beauty Labs is a cosmetic laboratory specialized in natural hair and skin care products.,Yassine Zrelli,n.a.,n.a.
Videsys,Ad Tech and Creative Tech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/videsys.png,https://www.videsys.com,09/2019,Videsys is a video content distribution platform with dynamic video advertising.,"Abdelaziz Ktari, Walid Messaoudia",n.a.,n.a.
We-Settle,Fintech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/WeSettle.png,https://we-settle.com,08/2020,We-Settle offers a set of solutions for companies to pay and manage their invoices online as well as innovative payment solutions for individuals.,"Wael Moula, Naima Moula",n.a.,n.a.
DIMAZINA,Communication services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/DIMAZINA.png,http://www.dima-zina.com/,10/2021,Online platform gathering the actors of the creation of art or ecological spirit in Tunisia and connecting them to national and international markets,"Hajer Sahnoun, Faten Sahnoun",n.a.,n.a.
iwassel,Mobility,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/iwassel.png,http://www.iwassel.tn,09/2019,"Iwassel, the Uber of delivery, is a logistics platform that connects e-retailers and consumers for delivery in a relay point.","Yasmine Dahloul, Sarra Khemakhem, Firas Rhaiem",n.a.,n.a.
Le Comet,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/12-Le-Comet.png,http://www.comet.tn,09/2020,"Comet© is a technological and scientific solution available to doctors to facilitate their daily work, and contributes to the safety of prescriptions and therefore of patients.",Tarek Mnaffakh,n.a.,n.a.
Market360Degrees,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/6-MARKET360DEGREES.png,null,07/2021,"Market360Degrees provides solutions for sellers on e-commerce sites, tracking their products and analyzing prices and reputation.","Ghassen Selmi, Amen Eddine Mili, Houssam Jedidi, Rene Sehi, Joerg Funder, Guenter Althaus",n.a.,n.a.
Shape,EdTech,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://theshapers.co,12/2022,"A SaaS platform that helps job seekers to learn, reshape, practice their skills using customized & practical courses for a personalized career plan",Rahma Ben Abid,rahma@theshapers.co,54950212
auto-plus,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/autoplus.png,https://www.auto-plus.tn/,04/2020,"Autoplus is a platform that assists its users in the maintenance, purchase and sale of their vehicles, advising them on the products that are suitable for their needs and putting them in touch with automotive professionals.",Amine Mliki,n.a.,n.a.
ALGAEPOOL,Agritech,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,http://www.algaepool.com,01/2022,"Algaepool se spécialise dans la conception et Installation du système standardisé, de production de micro algues adaptés aux contraintes des climats arides et des zones péri urbaines.","Taieb Nemissi, Dominique Delobel",n.a.,n.a.
KatYos,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Katyos.png,https://www.katyos.com,02/2022,"A marketplace that connects opticians to glasses buyers by providing the digitization of the purchase process (online fitting, advice, payment and delivery)","Yosra Arous, Leila Bennasr",n.a.,n.a.
Coachini,Communication services,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Coachini.png,www.coachini.net,02/2022,"Coachini is a phygital solution for Professionals in Accompaniment Trades (Coaching, Consulting, Supervision, Mentoring, Training, Brief Therapy)","Sawsen Dhifallah, Lotfi Mzoughi",n.a.,n.a.
Rent a tutor,EdTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/10-SCAPHANDRY.png,http://scaphandry.com,09/2020,Scaphandry offers an online after-school tutoring solution to facilitate teacher-student tutoring.,Abdeljalil Ghattas,n.a.,n.a.
Tunisiabiotech,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Tunisiabiotech.png,http://www.tunisiabiotech.com,10/2020,"Tunisiabiotech develops kits used for biotechnology, and provides practical training to researchers and students on innovative technologies in biotechnology.",Oualid Sbai,n.a.,n.a.
Finispia,Fintech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Finispia.png,https://finispia.com/,08/2020,"Finispia is a tool to search for Islamic compliant stocks on more than 90 stock exchanges worldwide used mainly by professionals, individuals and financial institutions.","Alaa Guidara, Mohamed Kallel",n.a.,n.a.
FININFO SOLUTIONS,Fintech,2019,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://fininfosolutions.com/,08/2023,"FININFO SOLUTIONS is an innovative company
specialized in software development and implementation
for financial institutions.",FARES NAIET  EL GAIED,fgaied@fininfosolutions.com,+33622446577
Fidelicia,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Fidelicia.png,https://fidelicia.com,11/2020,Fidelicia is a loyalty application for all businesses that allows them to reward their customers with offers sent by SMS.,Tommy Piedbois,n.a.,n.a.
Ahkili,HealthTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Ahkili.png,null,05/2020,"Ahkili is a listening, coaching and psychological support service. It is a call reception platform that puts the caller directly in touch with a psychologist.","Lamia Chouk, Ghaith Souissi",n.a.,n.a.
BipEvents,Advanced Manufacturing & Robotics,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/BIPevents.png,https://bip.events/,05/2020,"Bip is the first online self-service ticketing and cashless payment solution for all types of events in SaaS (festivals, concerts, private events...) https://bip.events","Karim Harmouni, Sarah Arbi, Amen Ben Mlouka",n.a.,n.a.
Farm Trust,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/farmtrust.png,http://www.farm-trust.com,09/2019,"Farm Trust is an E-Commerce platform that sells fresh, controlled and traceable products directly from the farm to the end customer.","Anis Mezghani, Wassim Khiari",n.a.,n.a.
Ground Transportation Business Management Suite,Mobility,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/5-Ground-Transportation-Business-Management-Suite.png,https://app.accelerantlab.com/,11/2021,Reservation and ticketing management system that allows ground transportation operators to manage and direct sales and operations.,"Kamel Alouani, Jacer Omri",n.a.,n.a.
Neoshop,Commerce and shopping,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/neoshop.png,http://www.neoshop.tn,11/2019,Neoshop is a ready-to-wear e-commerce site whose vision is to make technology its strong point to make a difference,"Donia Fayach, Ahmed Nsiri",n.a.,n.a.
Lamma,Mobility,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Lamma.png,http://www.lamma.city,06/2020,Lamma is the mobility aggregator and on-demand multiservice platform and digital payment technology.,"Reda Mansouri, Aymen Koussi, Yassir el Ismaili Idrissi",aymen@appetito.com,51075601
QUERMES,Advanced Manufacturing & Robotics,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/quermes.png,http://www.quermes.net,03/2020,"QUERMES develops IOT solutions supervised by a Manufacturing Execution System that allows manufacturing companies to control consumption, quality, productivity and traceability, providing real-time visibility on operations to manufacturers.","Karim Sellami, Faiz Baccour",n.a.,n.a.
DaryDar,Commerce and shopping,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/DaryDar.png,http://www.darydar.tn,11/2020,DaryDar is a home service management platform that provides you with competent and verified technicians for all your repair and installation needs in the building sector,"Taha Khaled, Chamseddine Bouhouch",n.a.,n.a.
Z healthcare,HealthTech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/z-healthcare.png,http://zcare.tn,02/2021,Z healthcare offers a medical 3D printing and processing service for orthopedic and prosthetic products.,"Haythem Zouaoui, Mohamed Riadh Bhar, Khadija mMahjoub, Taha Hamdani",n.a.,n.a.
CAIRUS BUSINESS GROUP,Fintech,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://www.cairus-business.com/#Service,04/2022,"CAIRUS digital business center is a legaltech, which offers the entrepreneur a simple and fast solution to domicile and create their business, receive correspondence by email in real time, write and modify their statutes and a range of innovative services.","Basma Yacoubi, Oussama Yacoubi",n.a.,n.a.
Thiqab,Business Software and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,08/2023,Our project specializes in developing and implementing automated trading strategies and machine learning algorithms for retail and institutional investors. Our unique trading algorithms exploits novel artificial intelligence features in order to design and analyze market data. Our proposed machine learning algorithms offer tools for making trades based on predefined rules and providing our clients high efficient and accurate results.,"Kaouther Hedhly, Hatem Zegnani",n.a.,n.a.
UCOD,Business Software and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://ucod.io,01/2024,"UCOD is the Ultimate All-in-One visual scripting platform that makes software development accessible to everyone. It offers a user-friendly interface for creating softwares without writing code, ideal for both beginners and experienced developers.",Mouadh Hsoumi,contact@ucod.io,0021622083857
WeMove,Wellness,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/WeMove.png,http::/www.wemove.tn,10/2020,WeMove is a fitness marketplace that offers its users access to a wide range of sports classes in a network of partner gyms.,"Mariem Sellami, Hichem Ben Hmida, Mohamed Khelil, Mejdi Mbarek",n.a.,n.a.
GATE INDUSTRIELLE,Advanced Manufacturing & Robotics,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/gateindustrielle.png,null,04/2020,"GATE INDUSTRIAL covers most of the areas necessary for the proper functioning of production lines: IT, industrial automation and robotics.",Mohamed Sahlaoui,n.a.,n.a.
Lanterns,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Lanterns-300-icon.jpg,https://www.lanterns-studios.com/,05/2022,"Video games develoment studio & XR services, Virtual Production and Motion Capture.","Jihed Jaouabi, Nabil Braham, Oussama Ben mariem",jihed.jaouabi@lanterns-studios.com,23586707
NATDYES,FoodTech & New Food,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Natdyes.png,null,06/2020,"Production of natural dyes from agricultural and food industry waste (olive oil, wine) for textile dyeing.","Mohamed Farouk Mhenni, Mohamed Ahmed Mhenni, Amira Mhenni",n.a.,n.a.
allcarta,EdTech,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/logo 7.png,http://www.allcarta.com,01/2022,"ALLCARTA est une plateforme de mise en relation entre professeur, élève /étudiant, administration et partenaires business.","Khalil Jebeniani, Ahmed Omar Miladi",support@allcarta.com,n.a.
Tuntales Interactive,Ad Tech and Creative Tech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/3-Tuntales-interactive.png,null,08/2021,"Tuntales Interactive, with their project Hkeya w Ebra, specialized in the development of video games, offers educational and interactive experiences to children. Their goal is to promote the intangible heritage of Tunisia.","Youssef Dridi, Atef Boutara, Yatim Omar, Firas Ben Ghayadha",n.a.,n.a.
Vintage Bae Studio,Commerce and shopping,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/logo_black_pages-to-jpg-0001-removebg-preview-1 copie.png,www.vintagebaestudio.tn,08/2022,Vintage Bae Studio is an upcycling clothing brand and service for women.,Khouloud Torkhani,n.a.,n.a.
Creometry,Business Software and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Creometry.png,https://www.creometry.com,03/2021,Creometry is a cloud hosting platform for container-based applications. It aims to facilitate access to IT services for developers and startups.,"Mounir Ghlaiel, Aymen El Amri",n.a.,n.a.
Expert Team Tunisie,EdTech,2017,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Expert-Team-Tunisie.png,https://www.expertunisie.com/,03/2021,"Expert Team Tunisia is a continuous training center in the fields of software testing, project management and requirements engineering. The solution adopts the e-learning approach by organizing online training sessions and also by designing a platform ""Expertest"" which is intended for candidates wishing to train to pass the ISTQB, IQBBA, Selenium and Agile certifications to test their skills.",Salah El Amami,n.a.,n.a.
Ms. Marion,Ad Tech and Creative Tech,2016,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Ms.-Marion.png,https://www.ms-marion.com/,02/2021,Ms.Marion is a ready-to-wear brand dedicated to active women in a revisited formal style. With their online sales service they ensure an accelerated shopping experience.,"Selma Belkhodja, Insaf Hamdi",n.a.,n.a.
GoPayzi,Fintech,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/gopayzi.png,https://gopayzi.com/,02/2022,Gopayzi is an innovative Fintech that aims to cover the entire value chain of the electronic payment.,"Marouan Omezzine, Houssem Charfi",n.a.,n.a.
Access Aligner,HealthTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/AccessAligner.png,http://www.accessaligner.com,08/2020,Access Aligner specializes in the manufacture of orthodontic treatments using invisible aligners.,"Hind Ben Salem, Wassim Toukabri, Sofiane Gritli",n.a.,n.a.
HALONURSERY,Agritech,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,null,04/2022,"HALONURSERY is a nursery for the domestication of halophytes of economic interest (agri-food, sources of active biomolecules) to promote new crops in marginal areas.",Amira Dabbous,amiradabousbenali@gmail.com,95840557
EDATA Warehouse,Business Software and services,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.edata-warehouse.com,01/2023,EDATA creates a replica of the ERP data on the cloud by enriching it with additional fields and by aggregating data from mobility and Prestashop merchant website. An API makes it possible to interact with all this data to develop any type of line of business application.,"Kamel Chahed, Fakhri Jemail",infos@data-warehouse.com,+21620517182
Secret Sucré Kids,Ad Tech and Creative Tech,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Secret sucre kids.png,https://secretsucre.com/,02/2022,Secret sucré Kids is a box that allows parents and children to cook together during a fun and educational activity.,"Sana Abid, Mohamed Amine Mhiri",n.a.,n.a.
TELA,Consumer products and services,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/TELA.png,https://tela.tn,02/2022,TELA is a platform that facilitates the search and choice of service providers and professional craftsmen.,Chaima Chaouachi,n.a.,n.a.
MONSAPO,Environment,2021,https://admin.startup.gov.tn/storage/application_sessions/images/logos/240727149_1962565277237390_2738900241813210777_n(1).jpg,www.monsapo.com,06/2022,"MONSAPO is an innovative start-up aiming to revolutionize the cleaning industry by adopting an eco-friendly approach. We stand out by using hazardous and non-hazardous waste according to the principles of circular economy. Additionally, we use recycled cooking oil to produce detergents, reducing CO2 emissions and production costs.

Our production process is based on cutting-edge technology, with patented modular containers and digital twin manufacturing systems. We have also integrated machine learning into our processes to optimize resource use and minimize waste.

We are committed to offering environmentally friendly cleaning products at affordable prices through our sustainable business model and use of technology.","Sabrine Chennaoui, Amir fourati, Hatem Hamdi",hola@monsapo.com,52532107
energy expert team company,Environment,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/logo_startup.png,null,08/2022,"ETCO offers energy efficiency solutions for the commercial sector (showroom, store, shopping center). Our commercial lighting control system helps to minimize energy waste and analyze customer behavior in stores using sensors integrated into existing light points in the commercial space","Mohamed Bouhlel, MOHAMED ANOUAR BRINI, ali mekni",etco.energie@gmail.com,22070621
